"Model","Task Type","Status","Last Updated Timestamp","Callback URL"
"AI4Bharat Urdu Indo-Aryan ASR (Conformer, Batch)_Arabic","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-multilingual-indo_aryan-gpu--t4"
"AI4Bharat English ASR (Conformer, Batch)","asr","available","11/07/2023","https://api.dhruva.ai4bharat.org/services/inference/asr?serviceId=ai4bharat/conformer-en-gpu--t4"
"OpenAI Whisper ASR Batch - English (medium.en)_Latin","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/whisper-medium-en--gpu--t4"
"AI4Bharat Kannada Dravidian ASR (Conformer, Batch)_Kannada","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-multilingual-dravidian-gpu--t4"
"AI4Bharat Malayalam Dravidian ASR (Conformer, Batch)_Malayalam","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-multilingual-dravidian-gpu--t4"
"AI4Bharat Telugu Dravidian ASR (Conformer, Batch)_Telugu","asr","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/asr?serviceId=ai4bharat/conformer-multilingual-dravidian-gpu--t4"
"AI4Bharat IndicTrans-v2: Sanskrit-Manipuri_Bengali","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Kannada-Sanskrit","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Santali-Assamese","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Gujarati-Sindhi_Devanagari","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Maithili-Telugu","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Bodo-English","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Assamese-Kannada","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Tamil-Manipuri_Meitei","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Malayalam-Konkani","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Manipuri_Meitei-Nepali","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Odia-Santali","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Gujarati-Maithili","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Sanskrit-Santali","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Nepali-Kashmiri_Devanagari","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Dogri-Malayalam","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Kashmiri_Devanagari-Assamese","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Gujarati-Nepali","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Maithili-Malayalam","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Dogri-Marathi","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Kashmiri_Devanagari-Marathi","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Bodo-Sindhi_Arabic","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Odia-Malayalam","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Punjabi-Tamil","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Malayalam-Kashmiri_Devanagari","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Gujarati-Tamil","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Santali-Hindi","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Gujarati-Santali","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Sindhi_Arabic-Manipuri_Bengali","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Telugu-Urdu","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: English-Odia","translation","unavailable","28/08/2024","https://dhruva-api.bhashini.gov.in/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Gujarati-Odia","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Maithili-Kashmiri_Devanagari","translation","available","22/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Konkani-Bodo","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Hindi-Marathi","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Manipuri_Bengali-Dogri","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
"AI4Bharat IndicTrans-v2: Manipuri_Meitei-Kashmiri_Arabic","translation","available","13/06/2023","https://api.dhruva.ai4bharat.org/services/inference/translation?serviceId=ai4bharat/indictrans-v2-all-gpu--t4"
